Num_Acc;lum;departement;commune;agglomeration;intersection;meteo;type_collision;lat;long;date
202400033723.0;2;83;83071;2;3;1.0;1.0;43.14608;6.238893;2024-03-01 17:50:00
202400033724.0;1;87;87085;2;1;3.0;3.0;45.80923;1.25644;2024-01-16 08:28:00
202400033725.0;3;31;31555;1;1;1.0;6.0;43.6468266;1.45968048;2024-04-08 21:15:00
202400033726.0;1;33;33200;2;6;1.0;6.0;44.86153;-0.69693;2024-05-16 17:00:00
202400033727.0;1;30;30221;1;1;1.0;4.0;44.06684102;4.76553348;2024-07-23 20:30:00
202400033728.0;5;83;83118;2;1;1.0;6.0;43.4168;6.83435;2024-01-17 02:30:00
202400033729.0;1;6;6003;1;1;1.0;5.0;43.774036;6.855396;2024-03-02 09:50:00
202400033730.0;1;33;33063;2;2;1.0;6.0;44.82758018;-0.5579035;2024-05-16 12:00:00
202400033731.0;1;974;97415;1;1;1.0;7.0;-21.043616;55.240379;2024-07-15 07:25:00
202400033732.0;3;77;77288;1;6;3.0;6.0;48.55255;2.64328;2024-01-17 07:40:00
202400033733.0;1;31;31069;2;8;1.0;6.0;43.6558;1.37282;2024-04-08 07:30:00
202400033734.0;1;4;4143;2;1;7.0;3.0;43.910213;5.907085;2024-02-26 12:10:00
202400033735.0;5;91;91599;2;1;1.0;3.0;48.483426;2.470926;2024-07-23 23:00:00
202400033736.0;1;33;33162;2;1;1.0;3.0;44.87863;-0.62502;2024-05-16 08:35:00
202400033737.0;1;29;29019;2;1;1.0;2.0;48.390789;-4.509312;2024-04-07 19:00:00
202400033738.0;3;13;13067;1;2;1.0;2.0;43.779677;5.051823;2024-02-26 20:30:00
202400033739.0;1;77;77067;1;6;1.0;2.0;48.56071;2.59584;2024-01-16 14:55:00
202400033740.0;1;66;66190;1;1;1.0;1.0;42.81226682;2.93377876;2024-07-24 09:50:00
202400033741.0;1;33;33200;2;1;1.0;3.0;44.86036;-0.6959;2024-05-16 07:55:00
202400033742.0;1;13;13085;1;1;1.0;6.0;43.253846;5.631888;2024-03-02 14:30:00
202400033743.0;1;29;29019;2;1;1.0;6.0;48.40306;-4.50633;2024-04-07 09:05:00
202400033744.0;1;84;84129;2;1;1.0;6.0;44.013061;4.876436;2024-07-18 12:00:00
202400033745.0;5;76;76540;2;3;4.0;6.0;49.44032323;1.12771694;2024-01-17 18:00:00
202400033746.0;1;31;31282;2;1;1.0;3.0;43.66388;1.43961;2024-05-16 13:30:00
202400033747.0;1;76;76351;2;1;1.0;6.0;49.46153;0.18528;2024-01-16 15:05:00
202400033748.0;1;4;4195;1;1;1.0;3.0;44.386285;6.631177;2024-07-24 06:07:00
202400033749.0;1;27;27229;2;1;2.0;7.0;49.02841;1.18356;2024-04-08 11:20:00
202400033750.0;5;71;71076;2;2;2.0;3.0;46.7958;4.83769;2024-01-17 19:10:00
202400033751.0;1;27;27229;2;1;2.0;2.0;49.01917;1.14869;2024-04-08 07:00:00
202400033752.0;1;13;13086;2;3;1.0;3.0;43.342115;5.603399;2024-07-22 15:30:00
202400033753.0;1;25;25462;1;4;2.0;3.0;46.89899;6.32235;2024-05-15 18:45:00
202400033754.0;3;71;71076;2;1;5.0;6.0;46.78502;4.86164;2024-01-16 17:58:00
202400033755.0;1;19;19031;2;1;1.0;1.0;45.15735595;1.52965966;2024-04-07 17:30:00
202400033756.0;1;25;25056;2;1;8.0;6.0;47.261629;6.037809;2024-05-16 20:15:00
202400033757.0;2;71;71076;2;1;2.0;6.0;46.78442;4.85307;2024-01-16 16:10:00
202400033758.0;1;29;29131;1;1;1.0;6.0;48.44938728;-4.08709579;2024-07-23 16:30:00
202400033759.0;1;14;14118;2;3;1.0;3.0;49.20974;-0.370842;2024-04-04 18:00:00
202400033760.0;5;69;69266;2;1;2.0;1.0;45.76379168;4.8739314;2024-01-17 19:05:00
202400033761.0;1;17;17306;2;1;2.0;4.0;45.65439;-1.02286;2024-05-16 17:55:00
202400033762.0;1;68;68247;1;1;1.0;6.0;47.93134142;7.01177114;2024-07-21 18:50:00
202400033763.0;1;11;11069;2;1;1.0;1.0;43.21989;2.33591;2024-04-07 18:40:00
202400033764.0;1;69;69290;2;3;2.0;2.0;45.70325;4.9025;2024-01-17 11:00:00
202400033765.0;1;68;68154;2;1;1.0;3.0;47.771291;7.381375;2024-07-23 17:59:00
202400033766.0;1;13;13214;2;1;1.0;1.0;43.33596;5.3982;2024-05-16 20:05:00
202400033767.0;1;11;11069;1;1;1.0;6.0;43.22573;2.36864;2024-04-07 15:45:00
202400033768.0;1;69;69259;2;2;1.0;1.0;45.72438;4.88729;2024-01-16 15:45:00
202400033769.0;1;13;13209;2;1;1.0;3.0;43.24583;5.41665;2024-05-16 16:00:00
202400033770.0;2;3;3173;2;1;1.0;7.0;46.473435;3.955223;2024-07-24 07:00:00
202400033771.0;1;69;69276;2;2;2.0;6.0;45.66345162;4.84926686;2024-01-15 16:30:00
202400033772.0;5;75;75117;2;1;2.0;7.0;48.881911;2.282727;2024-04-08 02:50:00
202400033773.0;1;11;11069;2;1;1.0;6.0;43.21436;2.37274;2024-05-16 11:00:00
202400033774.0;1;38;38565;1;1;1.0;3.0;45.302799;5.635391;2024-07-23 10:25:00
202400033775.0;5;68;68224;2;8;1.0;6.0;47.74348;7.31344;2024-01-16 21:06:00
202400033776.0;1;9;9122;2;1;1.0;7.0;42.963015;1.608304;2024-05-15 16:12:00
202400033777.0;5;75;75112;2;1;2.0;3.0;48.846484;2.414571;2024-04-07 23:20:00
202400033778.0;1;40;40293;1;1;1.0;7.0;43.669203;-1.200653;2024-07-23 17:00:00
202400033779.0;1;67;67482;2;3;8.0;3.0;48.56936;7.71051;2024-01-16 12:05:00
202400033780.0;1;6;6069;2;1;1.0;2.0;43.63764;6.92367;2024-05-16 19:20:00
202400033781.0;1;75;75116;2;1;1.0;3.0;48.85464;2.254711;2024-04-06 19:00:00
202400033782.0;1;75;75116;2;1;1.0;2.0;48.835363;2.258692;2024-05-15 17:35:00
202400033783.0;1;64;64445;2;3;3.0;3.0;43.29853;-0.3768;2024-01-17 11:52:00
202400033784.0;1;33;33441;1;2;7.0;5.0;45.151886;-0.635823;2024-07-23 16:35:00
202400033785.0;1;75;75120;2;3;7.0;6.0;48.858702;2.409907;2024-04-08 18:15:00
202400033786.0;1;64;64348;2;1;2.0;6.0;43.33289;-0.39083;2024-01-17 10:10:00
202400033787.0;1;75;75117;2;1;1.0;3.0;48.884658;2.286128;2024-05-15 16:30:00
202400033788.0;5;64;64445;2;1;1.0;3.0;43.33204;-0.37946;2024-01-10 19:15:00
202400033789.0;1;75;75119;2;3;1.0;6.0;48.886639;2.384839;2024-05-15 12:00:00
202400033790.0;1;75;75120;2;3;1.0;3.0;48.868021;2.387066;2024-04-08 16:30:00
202400033791.0;1;85;85243;2;3;1.0;3.0;46.60248;-1.82804;2024-07-24 11:30:00
202400033792.0;1;64;64445;2;1;1.0;7.0;43.31910703;-0.36446431;2024-01-16 13:20:00
202400033793.0;1;33;33063;1;1;1.0;7.0;44.883745;-0.556777;2024-07-23 08:47:00
202400033794.0;1;63;63113;2;1;1.0;3.0;45.76496;3.13589;2024-01-17 08:50:00
202400033795.0;5;75;75120;2;2;2.0;3.0;48.86653;2.399893;2024-05-14 21:45:00
202400033796.0;1;75;75120;2;3;8.0;6.0;48.856725;2.396014;2024-04-08 10:15:00
202400033797.0;1;75;75119;2;1;1.0;6.0;48.883832;2.374266;2024-05-16 11:40:00
202400033798.0;1;59;59350;1;1;1.0;2.0;50.61607;3.08282;2024-07-19 08:19:00
202400033799.0;1;75;75119;2;3;1.0;3.0;48.89709;2.39215;2024-04-08 17:10:00
202400033800.0;1;61;61169;2;6;3.0;3.0;48.741891;-0.557926;2024-01-17 11:10:00
202400033801.0;5;75;75117;2;3;1.0;6.0;48.883229;2.325334;2024-05-15 23:40:00
202400033802.0;5;56;56121;2;6;8.0;6.0;47.74682;-3.36596;2024-01-16 18:34:00
202400033803.0;1;75;75119;2;2;1.0;6.0;48.872097;2.377038;2024-04-08 07:30:00
202400033804.0;5;54;54357;2;4;1.0;6.0;48.71097;6.1694;2024-01-16 20:15:00
202400033805.0;1;75;75116;2;2;1.0;3.0;48.865059;2.234473;2024-05-16 18:30:00
202400033806.0;1;75;75116;2;2;1.0;3.0;48.845202;2.264181;2024-04-08 12:00:00
202400033807.0;1;54;54547;2;1;9.0;3.0;48.657236;6.1782;2024-01-16 15:57:00
202400033808.0;1;75;75114;2;4;1.0;6.0;48.828794;2.32773;2024-05-16 10:00:00
202400033809.0;5;75;75111;2;2;1.0;3.0;48.855767;2.391401;2024-04-08 20:45:00
202400033810.0;1;59;59330;1;1;1.0;2.0;50.45547;3.31634;2024-07-11 16:13:00
202400033811.0;2;51;51573;2;3;3.0;6.0;49.24793;4.00724;2024-01-17 07:50:00
202400033812.0;1;75;75102;2;2;1.0;7.0;48.866795;2.349411;2024-04-08 09:45:00
202400033813.0;1;75;75113;2;4;1.0;3.0;48.817572;2.35981;2024-05-16 18:05:00
202400033814.0;1;91;91161;1;1;1.0;3.0;48.7071527;2.30607748;2024-07-23 15:07:00
202400033815.0;5;51;51454;2;1;2.0;2.0;49.282041;4.02728;2024-01-17 04:30:00
202400033816.0;1;75;75110;2;1;1.0;6.0;48.870327;2.364567;2024-05-16 13:30:00
202400033817.0;1;91;91174;1;1;1.0;3.0;48.61804;2.45735;2024-07-23 11:10:00
202400033818.0;5;51;51454;2;1;1.0;6.0;49.25313;4.05395;2024-01-16 07:00:00
202400033819.0;1;75;75108;2;3;1.0;3.0;48.865758;2.320548;2024-05-16 13:25:00
202400033820.0;1;94;94078;2;2;1.0;3.0;48.73559;2.44686;2024-04-08 16:55:00
202400033821.0;1;49;49007;2;1;1.0;1.0;47.47167;-0.53845;2024-01-16 16:30:00
202400033822.0;1;92;92047;1;1;2.0;4.0;48.83459228;2.17162733;2024-07-23 10:34:00
202400033823.0;1;75;75108;2;3;1.0;2.0;48.864212;2.320206;2024-05-16 09:30:00
202400033824.0;1;94;94074;2;1;2.0;4.0;48.73886827;2.46962169;2024-04-08 11:55:00
202400033825.0;1;78;78007;1;1;2.0;6.0;48.900892;2.0050097;2024-07-23 10:30:00
202400033826.0;2;38;38185;2;1;2.0;6.0;45.18248;5.72828;2024-01-17 17:20:00
202400033827.0;2;95;95488;1;1;1.0;7.0;49.01607139;2.14427239;2024-07-23 05:50:00
202400033828.0;1;94;94073;1;4;1.0;3.0;48.75594;2.38367;2024-04-08 15:30:00
202400033829.0;5;38;38053;2;2;3.0;6.0;45.58826;5.2921;2024-01-17 19:20:00
202400033830.0;3;94;94079;2;3;1.0;6.0;48.8279;2.55282;2024-04-08 20:50:00
202400033831.0;1;93;93027;1;1;1.0;4.0;48.92583836;2.39888728;2024-07-23 12:05:00
202400033832.0;1;37;37261;2;1;8.0;3.0;47.36382;0.68615;2024-01-17 15:55:00
202400033833.0;5;93;93070;2;1;2.0;7.0;48.9032;2.33097;2024-04-08 01:45:00
202400033834.0;3;35;35288;1;1;1.0;6.0;48.6475;-1.96291;2024-01-13 05:00:00
202400033835.0;1;75;75103;2;3;1.0;6.0;48.865746;2.357423;2024-05-15 16:42:00
202400033836.0;1;93;93063;1;1;2.0;6.0;48.87437332;2.43812795;2024-07-23 10:15:00
202400033837.0;1;93;93055;2;1;1.0;3.0;48.90019;2.41015;2024-04-08 18:27:00
202400033838.0;1;95;95241;1;1;1.0;3.0;49.04775666;2.46302566;2024-07-22 14:40:00
202400033839.0;5;92;92022;2;1;2.0;6.0;48.81169702;2.19287798;2024-04-07 22:47:00
202400033840.0;4;35;35238;2;1;2.0;6.0;48.10573;-1.69331;2024-01-17 08:35:00
202400033841.0;1;94;94028;1;1;1.0;2.0;48.80103887;2.4472408;2024-07-23 17:10:00
202400033842.0;2;92;92012;2;2;1.0;1.0;48.85034362;2.2377668;2024-04-08 20:50:00
202400033843.0;1;94;94065;2;4;1.0;2.0;48.7539;2.3483;2024-05-16 07:35:00
202400033844.0;1;92;92004;2;1;1.0;3.0;48.91621421;2.30462095;2024-04-08 18:20:00
202400033845.0;1;77;77337;1;1;2.0;6.0;48.830033;2.61618;2024-07-23 06:50:00
202400033846.0;1;33;33281;2;3;2.0;5.0;44.836346;-0.6229;2024-01-17 13:37:00
202400033847.0;1;94;94028;2;3;1.0;2.0;48.76851152;2.46496671;2024-05-15 18:10:00
202400033848.0;1;92;92004;2;1;8.0;7.0;48.91443905;2.30043626;2024-04-08 09:10:00
202400033849.0;3;77;77258;1;1;1.0;7.0;48.832442;2.656272;2024-07-22 22:50:00
202400033850.0;5;33;33281;2;1;1.0;6.0;44.8412;-0.6521;2024-01-17 07:52:00
202400033851.0;1;94;94018;2;2;1.0;3.0;48.822362;2.410735;2024-05-16 08:15:00
202400033852.0;2;92;92004;2;1;8.0;2.0;48.90699;2.29162;2024-04-08 07:15:00
202400033853.0;1;94;94065;1;1;1.0;5.0;48.75361271;2.36115754;2024-07-22 09:30:00
202400033854.0;1;94;94017;2;1;2.0;2.0;48.81893;2.50349;2024-05-15 19:30:00
202400033855.0;3;40;40168;1;1;1.0;6.0;43.78613731;-1.20931033;2024-04-08 03:00:00
202400033856.0;5;31;31555;2;6;2.0;2.0;43.6231265;1.45430781;2024-01-17 21:20:00
202400033857.0;1;14;14281;1;9;1.0;6.0;49.33863;-0.937014;2024-01-24 16:15:00
202400033858.0;1;94;94075;2;6;1.0;6.0;48.72014;2.52979;2024-05-16 13:00:00
202400033859.0;5;29;29232;2;6;1.0;6.0;47.97952351;-4.12191647;2024-01-18 00:10:00
202400033860.0;1;35;35082;2;2;1.0;3.0;47.873375;-1.389701;2024-04-05 09:58:00
202400033861.0;1;76;76681;2;7;1.0;6.0;49.41205;1.07338;2024-03-18 10:00:00
202400033862.0;1;38;38378;1;1;3.0;6.0;45.428437;4.771341;2024-04-09 07:45:00
202400033863.0;5;29;29019;2;3;1.0;6.0;48.403411;-4.506693;2024-01-16 19:00:00
202400033864.0;1;93;93070;2;1;1.0;1.0;48.908934;2.332761;2024-05-16 08:14:00
202400033865.0;1;86;86184;2;1;1.0;6.0;46.768688;0.365784;2024-04-08 12:50:00
202400033866.0;1;93;93064;2;1;1.0;1.0;48.87977159;2.46801853;2024-05-16 09:25:00
