"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"416 936";"A";"2022";"Métropole";"LDB11C10A107";"Cyclo";"13"
"416 937";"A";"2022";"Métropole";"M10RENVP439M604";"VT";"6"
"416 937";"B";"2022";"Métropole";"N/A";"Moto légère";"N/A"
"416 938";"A";"2022";"Métropole";"MPE5202AV451";"VT";"22"
"416 939";"A";"2022";"Métropole";"L3EHNDM2000T239";"Moto lourde";"8"
"416 940";"A";"2022";"Métropole";"VF1FC1EAF399968";"VT";"13"
"416 940";"B";"2022";"Métropole";"M10PGTVP099F737";"VT";"1"
"416 941";"A";"2022";"Métropole";"N/A";"Moto lourde";"23"
"416 941";"B";"2022";"Métropole";"MPE1002BY061";"VT";"23"
"416 942";"A";"2022";"Métropole";"M10RENVP001D936";"VT";"10"
"416 943";"A";"2022";"Métropole";"MPE5416NM303";"VT";"14"
"416 943";"B";"2022";"Métropole";"L3EBMWM2075U904";"Moto lourde";"N/A"
"416 944";"A";"2022";"Métropole";"L3ESUZM20005333";"Moto lourde";"9"
"416 944";"B";"2022";"Métropole";"M10MN1VP009H684";"VT";"3"
"416 945";"A";"2022";"Métropole";"MRE5312AT919";"VT";"13"
"416 946";"A";"2022";"Métropole";"MPE1102KJ221";"VT";"21"
"416 946";"B";"2022";"Métropole";"N/A";"Autres";"2"
"416 947";"A";"2022";"Métropole";"LKY21C10S220";"Cyclo";"16"
"416 947";"B";"2022";"Métropole";"M10RENVP5552734";"VT";"4"
"416 948";"A";"2022";"Métropole";"M10PELVP601N871";"VT";"3"
"416 949";"A";"2022";"Métropole";"N10PGTCT177J211";"VU";"0"
"416 950";"A";"2022";"Métropole";"LJH1AL40Y161";"Moto lourde";"11"
"416 951";"A";"2022";"Métropole";"M10RENVP540T122";"VT";"4"
"416 951";"B";"2022";"Métropole";"N10RENCT490X852";"VU";"5"
"416 953";"A";"2022";"Métropole";"M10FATVP0007456";"VT";"10"
"416 955";"A";"2022";"Métropole";"MCT5304AN404";"VT";"23"
"416 957";"A";"2022";"Métropole";"M10VWGVPV81L894";"VT";"1"
"416 957";"B";"2022";"Métropole";"N/A";"VT";"16"
"416 957";"C";"2022";"Métropole";"MRE5314CF547";"VT";"17"
"416 958";"A";"2022";"Métropole";"M10RENVP002B387";"VT";"10"
"416 958";"B";"2022";"Métropole";"L1EBETCL000K171";"Cyclo";"1"
"416 959";"A";"2022";"Métropole";"M10CTRVP135V816";"VT";"1"
"416 959";"B";"2022";"Métropole";"N/A";"Autres";"9"
"416 961";"A";"2022";"Métropole";"M10PGTVP081H017";"VT";"2"
"416 962";"A";"2022";"Métropole";"L1EAPRCL000U270";"Cyclo";"8"
"416 962";"B";"2022";"Métropole";"N10FRDCT005N560";"VU";"10"
"416 963";"A";"2022";"Métropole";"LYM11C10T400";"Cyclo";"12"
"416 964";"A";"2022";"Métropole";"M10DACVP000U814";"VT";"6"
"416 964";"B";"2022";"Métropole";"M10CPFVP000Z935";"VT";"0"
"416 965";"A";"2022";"Métropole";"L7EPLA4M000M920";"Autres";"1"
"416 966";"A";"2022";"Métropole";"MPE1112KA247";"VT";"13"
"416 967";"A";"2022";"Métropole";"M10K1AVP002U586";"VT";"4"
"416 968";"A";"2022";"Métropole";"MRE1112EL648";"VT";"14"
"416 969";"A";"2022";"Métropole";"MBM1812CS417";"VT";"23"
"416 970";"A";"2022";"Métropole";"N/A";"VT";"13"
"416 971";"A";"2022";"Métropole";"M10RENVP4788853";"VT";"5"
"416 971";"B";"2022";"Métropole";"MPE5312VG476";"VT";"13"
"416 972";"A";"2022";"Métropole";"M10CTRVP0299160";"VT";"6"
"416 972";"B";"2022";"Métropole";"N/A";"Autres";"N/A"
"416 973";"A";"2022";"Métropole";"WF0HXXWPJH5D312";"VT";"16"
"416 973";"B";"2022";"Métropole";"N/A";"Cyclo";"N/A"
"416 975";"A";"2022";"DOM";"M10FATVP001J104";"VT";"10"
"416 975";"B";"2022";"DOM";"M10FATVP048C801";"VT";"6"
"416 976";"A";"2022";"Métropole";"MCT000AHR179";"VT";"24"
"416 976";"B";"2022";"Métropole";"M10PELVP098U957";"VT";"8"
"416 978";"A";"2022";"Métropole";"MCT3502MT751";"VT";"19"
"416 978";"B";"2022";"Métropole";"M10CTRVP0754181";"VT";"2"
"416 979";"A";"2022";"Métropole";"N/A";"VT";"N/A"
"416 979";"B";"2022";"Métropole";"N/A";"Cyclo";"N/A"
"416 980";"A";"2022";"Métropole";"M10AUDVP020P843";"VT";"5"
"416 980";"B";"2022";"Métropole";"M10FATVP032J048";"VT";"7"
"416 981";"A";"2022";"Métropole";"N/A";"VT";"10"
"416 981";"B";"2022";"Métropole";"N/A";"Cyclo";"12"
"416 982";"A";"2022";"Métropole";"MAU5444FZ375";"VT";"21"
"416 982";"B";"2022";"Métropole";"L1EBETCL000H071";"Cyclo";"6"
"416 982";"C";"2022";"Métropole";"L3EYAMM2000U324";"Moto lourde";"8"
"416 983";"A";"2022";"Métropole";"M10K1AVP002D738";"VT";"4"
"416 983";"B";"2022";"Métropole";"MRE5632CZ381";"VT";"13"
"416 984";"A";"2022";"Métropole";"M10DACVP000L999";"VT";"4"
"416 985";"A";"2022";"Métropole";"MVW53J2K7737";"VT";"18"
"416 986";"A";"2022";"Métropole";"M10RENVP436E380";"VT";"7"
"416 987";"A";"2022";"Métropole";"N/A";"PL";"13"
"416 987";"B";"2022";"Métropole";"MKA1302KJ797";"VT";"12"
"416 988";"A";"2022";"Métropole";"N/A";"Moto lourde";"10"
"416 988";"B";"2022";"Métropole";"N10RENCTE00A386";"VU";"0"
"416 989";"A";"2022";"DOM";"N/A";"VT";"0"
"416 989";"B";"2022";"DOM";"N/A";"VT";"N/A"
"416 990";"A";"2022";"Métropole";"M10BMWVP072P851";"VT";"0"
"416 990";"B";"2022";"Métropole";"N/A";"VU";"12"
"416 991";"A";"2022";"Métropole";"M10BM2VP000P068";"VT";"N/A"
"416 992";"A";"2022";"Métropole";"N10VWGCTG74Z857";"VU";"7"
"416 992";"B";"2022";"Métropole";"L3ESUZM1001L216";"Moto lourde";"1"
"416 993";"A";"2022";"Métropole";"MVW56E4W3A45";"VT";"15"
"416 993";"B";"2022";"Métropole";"LJH12E20B157";"Moto légère";"11"
"416 994";"A";"2022";"Métropole";"MRE1001FY867";"VT";"21"
"416 995";"A";"2022";"Métropole";"M10RENVP0019508";"VT";"11"
"416 995";"B";"2022";"Métropole";"M10JT0VP0049460";"VT";"10"
"416 996";"A";"2022";"Métropole";"MCT1611SR025";"VT";"14"
"416 996";"B";"2022";"Métropole";"N/A";"VT";"8"
"416 997";"A";"2022";"Métropole";"MVW51E2CLE97";"VT";"15"
"416 998";"A";"2022";"Métropole";"M10JT0VP005W288";"VT";"8"
"416 998";"B";"2022";"Métropole";"MRE1112EF739";"VT";"17"
"416 999";"A";"2022";"Métropole";"M10PELVS417K783";"VU";"5"
"417 000";"A";"2022";"Métropole";"MRE1116SB749";"VT";"17"
"417 001";"A";"2022";"Métropole";"MRE5236AD066";"VT";"13"
"417 001";"B";"2022";"Métropole";"L3EYAMM1000B536";"Moto lourde";"8"
"417 001";"C";"2022";"Métropole";"M10JT0VP017U432";"VT";"5"
"417 002";"A";"2022";"Métropole";"MRE5001EJ999";"VT";"18"
"417 002";"B";"2022";"Métropole";"M10SKDVP0517858";"VT";"0"
"417 003";"A";"2022";"Métropole";"M10AUDVP032M925";"VT";"3"
"417 004";"A";"2022";"Métropole";"MCT5216LX020";"VT";"14"
"417 004";"B";"2022";"Métropole";"N/A";"Autres";"22"
"417 005";"A";"2022";"Métropole";"N/A";"VT";"1"
"417 006";"A";"2022";"Métropole";"N/A";"Moto lourde";"22"
"417 006";"B";"2022";"Métropole";"MPE5314YF820";"VT";"12"
"417 007";"A";"2022";"Métropole";"N/A";"VT";"3"
"417 007";"B";"2022";"Métropole";"L3EDUCM2000R138";"Moto lourde";"15"
"417 008";"A";"2022";"Métropole";"N10VWGCTV82S024";"VU";"2"
"417 009";"A";"2022";"Métropole";"MPL5362H4782";"VT";"19"
"417 010";"B";"2022";"Métropole";"N/A";"Moto lourde";"1"
"417 010";"C";"2022";"Métropole";"N/A";"Indéterminable";"N/A"
"417 011";"A";"2022";"Métropole";"jyacg27c0000368";"Moto légère";"N/A"
"417 012";"A";"2022";"Métropole";"M10NSSVP013W759";"VT";"6"
"417 013";"A";"2022";"Métropole";"M10MCWVPH60T034";"VT";"2"
"417 013";"B";"2022";"Métropole";"N/A";"Indéterminable";"22"
"417 014";"B";"2022";"Métropole";"M10PGTVP015A658";"VT";"6"
"417 014";"C";"2022";"Métropole";"M10PGTVP125R589";"VT";"0"
"417 014";"Z";"2022";"Métropole";"MRE5416AZ519";"VT";"17"
"417 015";"A";"2022";"Métropole";"M10RENVPD234379";"VT";"0"
"417 016";"A";"2022";"Métropole";"N/A";"Autres";"N/A"
"417 017";"A";"2022";"Métropole";"LYM92E20V267";"Moto légère";"12"
"417 017";"B";"2022";"Métropole";"MRE5026S6547";"Moto lourde";"14"
"417 018";"A";"2022";"Métropole";"N/A";"VT";"14"
"417 019";"A";"2022";"DOM";"VF1WF0002653855";"VT";"1"
"417 019";"B";"2022";"DOM";"LYM18L40N505";"Moto lourde";"13"
"417 020";"A";"2022";"Métropole";"M10MCDVPP17W398";"VT";"9"
"417 020";"B";"2022";"Métropole";"MRE5212AL921";"VT";"15"
"417 022";"A";"2022";"Métropole";"LKW19L40U141";"Moto lourde";"16"
"417 022";"B";"2022";"Métropole";"MPE2514MT177";"VT";"16"
"417 023";"A";"2022";"Métropole";"N/A";"Autres";"N/A"
"417 024";"A";"2022";"Métropole";"MPE5001KA794";"VT";"19"
"417 026";"B";"2022";"Métropole";"VF1CB0D0F182812";"VT";"24"
"417 027";"A";"2022";"Métropole";"MDD5002CT068";"VT";"12"
"417 028";"A";"2022";"Métropole";"MFD11C1C2382";"VT";"17"
"417 029";"A";"2022";"DOM";"N/A";"VU";"22"
"417 029";"B";"2022";"DOM";"L3EBMWM2009PD56";"Moto lourde";"9"
"417 030";"A";"2022";"Métropole";"M10AUDVP004J975";"VT";"10"
"417 031";"A";"2022";"Métropole";"M10FRDVP003W247";"VT";"10"
"417 033";"A";"2022";"Métropole";"MPE5212TV273";"VT";"15"
